NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
KELAR-TG2_DIE,2026,5,9,1,1,0
KELAR-TG2_GN_A,2026,5,9,1,1,0
KELAR-TG2_GN_B,2026,5,9,1,1,0
KELAR-TG2_GN_C,2026,5,9,1,1,0
KELAR-TG2_GN_D,2026,5,9,1,1,0
KELAR-TG2_GNL_A,2026,5,9,1,1,0
KELAR-TG2_GNL_B,2026,5,9,1,1,0
KELAR-TG2_GNL_C,2026,5,9,1,1,0
KELAR-TG2_GNL_D,2026,5,9,1,1,0
KELAR-TG2_GNL_E,2026,5,9,1,1,0
KELAR-TG2_GNL_INF,2026,5,9,1,1,0
KELAR-TG2+0.5TV_DIE,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GN_A,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GN_B,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GN_C,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GN_D,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_A,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_B,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_C,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_D,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_E,2026,5,9,1,1,0
KELAR-TG2+0.5TV_GNL_INF,2026,5,9,1,1,0
ANGAMOS_1,2026,5,9,1,1,249.575
ANGAMOS_2,2026,5,9,1,1,251.875
COCHRANE_1,2026,5,9,1,1,236.942
COCHRANE_2,2026,5,9,1,1,236.942
MEJILLONES_3-TG_DIE,2026,5,9,1,1,0
MEJILLONES_3-TG_GN_A,2026,5,9,1,1,0
MEJILLONES_3-TG_GN_B,2026,5,9,1,1,0
MEJILLONES_3-TG_GN_C,2026,5,9,1,1,0
MEJILLONES_3-TG_GN_D,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_A,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_B,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_C,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_D,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_E,2026,5,9,1,1,0
MEJILLONES_3-TG_GNL_INF,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_DIE,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GN_A,2026,5,9,1,1,0
