NAME,YEAR,MONTH,DAY,PERIOD,VALUE
GUACOLDA_2,2026,5,9,1,1285.067
MASISA,2026,5,9,1,0
SANTA_FE_BL3,2026,5,9,1,0
NUEVA_VENTANAS,2026,5,9,1,1852.8581
CAMPICHE,2026,5,9,1,1239.8786
LICANTEN_BL2,2026,5,9,1,0
LICANTEN_BL1,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_B,2026,5,9,1,0
CHOLGUAN_BL1,2026,5,9,1,0
NEHUENCO_2-TG+TV_GNL_INF,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GN_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_DIE,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GN_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_B,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_C,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_D,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_X,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_F,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_E,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_INF,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_B,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_B,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_B,2026,5,9,1,0
ESCUADRON,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GN_A,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_A,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GN_A,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_A,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_C,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_X,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_F,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_E,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_X,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_F,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_E,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_F,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_E,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_D,2026,5,9,1,0
CMPC_BUCALEMU_1,2026,5,9,1,6.313442863
SAN_ISIDRO-TG+TV_GNL_C,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_C,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_C,2026,5,9,1,0
SAN_ISIDRO-TG+TV_GNL_D,2026,5,9,1,0
SAN_ISIDRO-TG+TV-FSTVD_GNL_D,2026,5,9,1,0
NUEVA_RENCA-TG+TV_GNL_D,2026,5,9,1,0
ENERGIA_PACIFICO,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_B,2026,5,9,1,0
TALTAL_1_GNL_X,2026,5,9,1,0
TALTAL_2_GNL_X,2026,5,9,1,0
TALTAL_1_GNL_A,2026,5,9,1,0
TALTAL_2_GNL_A,2026,5,9,1,0
SAN_ISIDRO-TG_GN_A,2026,5,9,1,0
