NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
ElNegro110->AltoNorte110,2026,5,9,1,1,137
ElSalto110->SCristobal110,2026,5,9,1,1,425.25
ElTesoro220->Esperanza220,2026,5,9,1,1,125
Encuentro220->Colla220,2026,5,9,1,1,218
Encuentro220->ElTesoro220,2026,5,9,1,1,125
Encuentro220->Lagunas220,2026,5,9,1,1,466
Encuentro220->Lagunas220,2026,5,9,9,1,294
Encuentro220->Lagunas220,2026,5,9,21,1,466
Encuentro220->Lagunas220,2026,5,10,9,1,294
Encuentro220->Lagunas220,2026,5,10,21,1,466
Encuentro220->Lagunas220,2026,5,11,9,1,294
Encuentro220->Lagunas220,2026,5,11,21,1,466
Encuentro220->Lagunas220,2026,5,12,9,1,294
Encuentro220->Lagunas220,2026,5,12,21,1,466
Encuentro220->Lagunas220,2026,5,13,9,1,294
Encuentro220->Lagunas220,2026,5,13,21,1,466
Encuentro220->Lagunas220,2026,5,14,9,1,294
Encuentro220->Lagunas220,2026,5,14,21,1,466
Encuentro220->Lagunas220,2026,5,15,9,1,294
Encuentro220->Lagunas220,2026,5,15,21,1,466
Encuentro220->Miraje220,2026,5,9,1,1,490
EntreRios500->Ancoa500,2026,5,9,1,1,1550
EntreRios500->Charrua500,2026,5,9,1,1,1550
EntreRios500->EntreRios220,2026,5,9,1,1,1600
Esmeralda110->Portada110,2026,5,9,1,1,98
Esmeralda220->Esmeralda110,2026,5,9,1,1,195
Florida110->Almendros110,2026,5,9,1,1,212.62
Florida110->StaRosa110,2026,5,9,1,1,301.8
Fopaco154->Lagunillas154,2026,5,9,1,1,188
Francisco220->DAlmagro220,2026,5,9,1,1,285
GasAta220->Esmeralda220,2026,5,9,1,1,197
Guacolda220->Maitenc220,2026,5,9,1,1,957
Hualpen154->Mapal154,2026,5,9,1,1,188
Hualpen220->Hualpen154,2026,5,9,1,1,300
Illapa220->Cumbres500,2026,5,9,1,1,1200
Illapa220->DAlmagro220,2026,5,9,1,1,731.6
Itahue154->Maule154,2026,5,9,1,1,212.4
Itahue154->Teno154,2026,5,9,1,1,198
Itahue220->Maule220,2026,5,9,1,1,300
Kapatur220->Laberinto220,2026,5,9,1,1,742
Kapatur220->Ohiggins220,2026,5,9,1,1,721
Laberinto220->ElCobre220,2026,5,9,1,1,500
Laberinto220->Mantos220,2026,5,9,1,1,300
Laberinto220->NvaZald220,2026,5,9,1,1,328
Laberinto220->Oeste220,2026,5,9,1,1,428
LaCebada220->MRedondo220,2026,5,9,1,1,225
LaCebada220->PuntaSierra220,2026,5,9,1,1,225
Lagunas220->Collahuasi220,2026,5,9,1,1,183
Lagunas220->Collahuasi220,2026,5,9,9,1,134
