NAME,YEAR,MONTH,DAY,PERIOD,VALUE
Gas_GNLQuintero_E,2026,5,9,1,338.5304
Gas_GNLQuintero_F,2026,5,9,1,650.93411
Gas_GNLQuintero_X,2026,5,9,1,650.93411
Gas_GNLQuintero_INF,2026,5,9,1,585.381616
Gas_Colbun_A,2026,5,9,1,518.5075839
Gas_Colbun_B,2026,5,9,1,322.5527
Gas_Colbun_C,2026,5,9,1,295.0294
Gas_Colbun_D,2026,5,9,1,369.0445
Gas_Colbun_E,2026,5,9,1,313.6878
Gas_Colbun_F,2026,5,9,1,276.7834
Gas_Colbun_G,2026,5,9,1,308.5212
Gas_Colbun_X,2026,5,9,1,583.09038
Gas_Colbun_GN_A,2026,5,9,1,257.54737
Gas_Colbun_INF,2026,5,9,1,363.7266
Gas_Enap_A,2026,5,9,1,264.44
Gas_Newen_A,2026,5,9,1,525.2178
Gas_Newen_B,2026,5,9,1,211.8867358
Gas_Newen_GN_A,2026,5,9,1,313.69546
Gas_Newen_Propano,2026,5,9,1,564.0343939
Gas_NuevaRenca_P,2026,5,9,1,484.05
Gas_NuevaRenca_GN_A,2026,5,9,1,261.1401442
Gas_NuevaRenca_A,2026,5,9,1,303.8141726
Gas_NuevaRencaFA_A,2026,5,9,1,303.8141726
Gas_NuevaRenca_B,2026,5,9,1,428.845134
Gas_NuevaRencaFA_B,2026,5,9,1,428.845134
Gas_NuevaRenca_FA_P,2026,5,9,1,484.05
Gas_NuevaRencaFA_INF,2026,5,9,1,0
Gas_EnelMejillones_A,2026,5,9,1,311.6034
Gas_EnelMejillones_B,2026,5,9,1,278.2173
Gas_EnelMejillones_C,2026,5,9,1,285.6364
Gas_EnelMejillones_D,2026,5,9,1,260.7824
Gas_EnelMejillones_E,2026,5,9,1,284.3595
Gas_EnelMejillones_X,2026,5,9,1,389.504309
Gas_EnelMejillones_INF,2026,5,9,1,296.6884
Gas_Yungay_GN_A,2026,5,9,1,398.48293
Gas_Yungay_A,2026,5,9,1,904.159132
GLP_NuevaRencaFA,2026,5,9,1,657.2397918
GLP_TenoGas,2026,5,9,1,494.7132885
Diesel_Pajonales,2026,5,9,1,1457.734657
Diesel_Chagual,2026,5,9,1,1376.388298
Carbon_Andina,2026,5,9,1,113.242
Carbon_Angamos1,2026,5,9,1,116.028
Carbon_Angamos2,2026,5,9,1,116.028
Carbon_Cochrane1,2026,5,9,1,122.5933333
Carbon_Cochrane2,2026,5,9,1,122.5933333
Carbon_Hornitos,2026,5,9,1,113.242
Carbon_IEM,2026,5,9,1,129.28
Diesel_AguasBlancas,2026,5,9,1,861.1326773
Diesel_Atacama,2026,5,9,1,991.4914911
Diesel_CDArica,2026,5,9,1,856.5858224
Diesel_CDMB,2026,5,9,1,1326.571548
Diesel_Enaex,2026,5,9,1,637.9661102
Diesel_Kelar,2026,5,9,1,1127.44384
Diesel_LaPortada,2026,5,9,1,1488.769923
Diesel_Mejillones,2026,5,9,1,1049.914431
Diesel_Salta,2026,5,9,1,1146.823529
Diesel_Tocopilla,2026,5,9,1,899.7315257
Diesel_Collahuasi,2026,5,9,1,770.4919589
FuelOil_CDArica,2026,5,9,1,423.7127135
FuelOil_CDMB,2026,5,9,1,664.3848083
FuelOil_Collahuasi,2026,5,9,1,655.2692058
FuelOil_Norgener,2026,5,9,1,473.3376679
FuelOil_Tarapaca,2026,5,9,1,371.9358061
Gas_Kelar_A,2026,5,9,1,320.4189
Gas_Kelar_B,2026,5,9,1,283.5383
Gas_Kelar_C,2026,5,9,1,259.6695
Gas_Kelar_D,2026,5,9,1,422.8903
Gas_Kelar_E,2026,5,9,1,234.4754
Gas_Kelar_X,2026,5,9,1,651.0488
Gas_Kelar_INF,2026,5,9,1,335.4793
Gas_Mejillones_A,2026,5,9,1,207.2494
Gas_Mejillones_B,2026,5,9,1,378.5168
Gas_Mejillones_C,2026,5,9,1,324.7674
Gas_Mejillones_D,2026,5,9,1,420.9034
Gas_Mejillones_E,2026,5,9,1,384.1945
Gas_Mejillones_X,2026,5,9,1,651.0488
Gas_Mejillones_GN_A,2026,5,9,1,247.37904
Gas_Mejillones_INF,2026,5,9,1,273.7541617
Gas_EnelMejillones_GN_A,2026,5,9,1,316.9826
Gas_Norgener_A,2026,5,9,1,349.3511
Gas_Salta_A,2026,5,9,1,0
Gas_Tocopilla_A,2026,5,9,1,0
Diesel_Combarbala,2026,5,9,1,1512.132005
Diesel_SanJavier,2026,5,9,1,1147.494812
Diesel_LlanosBlancos,2026,5,9,1,1386.493718
Diesel_Tamaya,2026,5,9,1,837.8974812
Otros_Noracid,2026,5,9,1,0
Gas_LosVientos_B,2026,5,9,1,428.845134
Gas_LosVientos_C,2026,5,9,1,295.238
Gas_NuevaRenca_C,2026,5,9,1,295.238
Gas_Kelar_GN_A,2026,5,9,1,431.954
Diesel_Maitencillo,2026,5,9,1,900.4246433
Diesel_Maule,2026,5,9,1,796.0286745
Diesel_Constitucion,2026,5,9,1,816.6704624
Gas_LosVientos_GN_A,2026,5,9,1,261.1401442
Gas_LosVientos_D,2026,5,9,1,623.3793651
Gas_NuevaRenca_D,2026,5,9,1,623.3793651
Gas_LosVientos_E,2026,5,9,1,314.2090926
Gas_NuevaRenca_E,2026,5,9,1,314.2090926
Gas_Enel_GN_B,2026,5,9,1,242.39889
Gas_Colbun_GN_B,2026,5,9,1,280.1192
Gas_NuevaRenca_GN_B,2026,5,9,1,276.4185128
Gas_Mejillones_GN_B,2026,5,9,1,0
Gas_EnelMejillones_GN_B,2026,5,9,1,234.2456
Gas_Kelar_GN_B,2026,5,9,1,0
Gas_LosVientos_GN_B,2026,5,9,1,276.4185128
Gas_Enel_GN_C,2026,5,9,1,258.80833
Gas_Colbun_GN_C,2026,5,9,1,233.21805
Gas_NuevaRenca_GN_C,2026,5,9,1,293.4503308
Gas_Mejillones_GN_C,2026,5,9,1,0
Gas_EnelMejillones_GN_C,2026,5,9,1,247.4809
Gas_Kelar_GN_C,2026,5,9,1,0
Gas_LosVientos_GN_C,2026,5,9,1,293.4503308
Gas_Enel_GN_D,2026,5,9,1,277.68319
Gas_Colbun_GN_D,2026,5,9,1,247.26583
Gas_NuevaRenca_GN_D,2026,5,9,1,0
Gas_Mejillones_GN_D,2026,5,9,1,0
Gas_EnelMejillones_GN_D,2026,5,9,1,370.0661
Gas_Kelar_GN_D,2026,5,9,1,0
Gas_LosVientos_GN_D,2026,5,9,1,0
Gas_Newen_GN_B,2026,5,9,1,398.627
Gas_Enel_GN_E,2026,5,9,1,206.2557
Biomasa_AraucoMapa_B1,2026,5,9,1,0
Biomasa_AraucoMapa_B2,2026,5,9,1,28.47544211
