YEAR,MONTH,DAY,PERIOD,RALCO,PANGUE,ANGOSTURA,CIPRESES,POLCURA,CANUTILLAR,PEHUENCHE,MACHICURA,COLBUN,L_Maule,ELTORO,RAPEL,ENEL_QUINTERO_GNL_INF,COLBUN_QUINTERO_GNL_INF,TAMAKAYA_MEJILLONES_GNL_INF,ENGIE_MEJILLONES_GNL_INF,ENEL_MEJILLONES_GNL_INF,,,,,,,,,,,,,,,,,,,
2026,5,9,1,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,2,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,3,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,4,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,5,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,6,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,7,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,8,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,9,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,10,13579.7011423611,804.608217592612,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
