YEAR,MONTH,DAY,PERIOD,RALCO,PANGUE,ANGOSTURA,CIPRESES,POLCURA,CANUTILLAR,PEHUENCHE,MACHICURA,COLBUN,L_Maule,ELTORO,RAPEL,ENEL_QUINTERO_GNL_INF,COLBUN_QUINTERO_GNL_INF,TAMAKAYA_MEJILLONES_GNL_INF,ENGIE_MEJILLONES_GNL_INF,ENEL_MEJILLONES_GNL_INF,,,,,,,,,,,,,,,,,,,
2026,5,9,1,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,2,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,3,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,4,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,5,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,6,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,7,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,8,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,9,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,10,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,11,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,12,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,13,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,9,14,4738.53719444445,666.474537037053,1224.81717095988,54.5874639576343,3.09299441533218,5741.73842592592,1233.60038310184,117.808622951275,4416.94791332444,0,0,3151.67737648711,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
