YEAR,MONTH,DAY,PERIOD,CIPRESES,RALCO,PANGUE,ANGOSTURA,RUCUE,LAJA_I,ELTORO,POLCURA,L_Maule,Ext_Maule,LOMAALTA,LA_MINA,ISLA,CURILLINQUE,B_Maule,B_M_Isla,B_C_Isla,PEHUENCHE,COLBUN,CANUTILLAR,RAPEL,Riego_SANIGNACIO,Riego_LAJA_I,Riego_RUCUE,Caudal_Eco_Ralco,HI_RUCUE_neg,Riego_NoGen_Colbun,Filt_Laja,HI_CURILLINQUE_neg,Filt_Inv,Filt_Colb,HI_LOMAALTA_neg,Riego_B_Maule,SANIGNACIO,HI_LA_MINA_neg,HI_B_M_Isla_neg
2026,5,9,1,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,2,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,3,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,4,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,5,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,6,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,7,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,8,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,9,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
2026,5,9,10,20.4235971800544,155.652244630347,15.4635791503151,137.508724300296,5.65285129832345,23.6557559836895,25.7498412624064,20.6832674460344,6.28365211219524,0,0,4.88153049289892,0,0,12.069917627991,11.205810518732,0,14.108369735937,10.8893608375014,37.3209251276442,51.0718690552511,29.6,0,33,27.1,0,15.6175,21.0769726221333,0,12.82618,1.78872773040001,0,0,0,0,0
